aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.09,13.41,0.01,0.32,0.06,0.02,0,0.03,0.08,0,0.63,0.044,16.61,0.98,0.008,4.42,2.37,0.02,0.01,0.09,0
0.07,7.04,0.08,0.82,0.03,0.48,0.06,0.07,0.64,0,0.002,0.074,7.28,0.81,0.002,6.9,4.35,0.07,0.05,0.05,0
0.03,22.93,0.03,0.85,0.07,0.03,0.07,0.06,1.03,0.04,0.007,0.067,13.92,0.99,0,1.83,1.26,0.05,0.08,0,0
0.04,19.68,0.03,0.79,0.03,0.18,0.04,0.02,1.4,0,0.005,0.164,10.88,0.01,0.005,2.81,3.1,0.09,0.02,0.06,0
0.04,18.16,0.08,0.26,0.04,0.12,0.08,0.05,1.34,0,0.72,0.17,16.32,0.85,0.006,0.88,1.87,0.08,0.01,0.08,0
0.02,6.44,0.02,0.59,0.05,0.36,0.1,0.06,1.48,0,0.004,0.183,3.84,0.28,0.005,8.13,3,0.06,0.02,0.08,0
0.05,29.66,0.09,0.72,0.06,0.19,0.07,0.03,0.69,0,0.77,0.11,0.52,0.11,0.003,1.53,2.73,0.06,0.01,0.04,0
0.03,7.9,0.09,0.09,0.04,0.01,0.04,0.07,1.32,0,0.62,0.103,13.78,0.29,0.01,1.1,0.74,0.06,0.01,0,0
0.01,8.87,0.06,0.95,0.04,0.59,0.07,0.04,0.88,0,0.005,0.072,2.78,0.95,0.009,2.37,0.16,0.1,0.03,0.06,0
0.02,28.39,0.08,0.33,0.02,0.15,0.05,0.06,0.61,0,0.98,0.076,0.54,0.86,0.003,1.01,0.73,0.04,0.02,0.05,0
0.01,25.22,0.07,0.7,0.09,0.04,0.04,0.08,1.03,0.01,0.008,0.014,10.99,0.89,0.006,1.33,0.04,0.06,0.06,0.06,0
0.06,23.22,0.09,1,0.09,0.02,0.04,0.09,0.12,0,0.52,0.121,10.85,0.33,0.002,3.24,3.36,0.08,0.09,0.01,0
